,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
69,How It Feels to Be Something On,Sunny Day Real Estate,0.3124,0.73319995,4.6,-7.5604005,0.5,0.04095,0.079955004,0.2153871,0.20010002,0.3689,119.7003,274233.4,3.4,spotify:album:7lUd8epbP1tQlpxwZfCSZv
70,Magnolia,Aimee Mann,0.5468462,0.46909234,5.3846154,-10.630385,0.61538464,0.033715382,0.43937695,0.09541629,0.12265384,0.43003848,113.22084,235624.53,3.8461537,spotify:album:6jbjx0LGKl11H6UtrgS2nV
71,Hear Nothing See Nothing Say Nothing,Discharge,0.21910869,0.9349565,5.6086955,-7.104218,0.65217394,0.1028913,0.0013119013,0.19438866,0.15845217,0.2507826,134.59068,124280.65,4.0,spotify:album:6WYcRCX40Kfhjjeiy2S91P
72,A Rainbow in Curved Air,Terry Riley,0.14525,0.30949998,4.5,-17.372,1.0,0.04605,0.773,0.75450003,0.126,0.08245,130.3305,1208666.5,4.0,spotify:album:7tMM2MIBklhAtmmsgbQrAq
73,Hypermagic Mountain,Lightning Bolt,0.22991668,0.9512499,6.8333335,-4.3070836,0.5,0.35553336,0.15662456,0.54476666,0.48075,0.07407499,120.81791,284099.0,4.0,spotify:album:4RTN7h6LNcaNYuh90uvXdb
74,Ballads,John Coltrane Quartet,0.45781815,0.2524636,4.3636365,-13.022592,0.6363636,0.03889091,0.82436365,0.08654172,0.11728637,0.3338273,107.06137,219537.64,3.4545455,spotify:album:0Ydakb7npXmyTwFLvKc5qt
75,Rattlesnakes,Lloyd Cole and The Commotions,0.54120004,0.59010005,6.3,-13.125801,0.9,0.04518,0.25106,0.019664539,0.21870002,0.5722,140.8421,214721.4,4.0,spotify:album:3H0NNApNsmt18C7HFruaXS
76,Under the Bushes Under the Stars,Guided by Voices,0.37187502,0.803,5.6666665,-6.4079585,0.9166667,0.059916664,0.33380675,0.40290782,0.33444166,0.3906958,124.20492,140033.45,4.0,spotify:album:5AEhHFZJUCtPMK7rbqqYDv
77,Strong Arm of the Law,Saxon,0.39293748,0.90143746,3.4375,-6.662937,0.8125,0.078643754,0.009854015,0.303648,0.18915625,0.43168753,132.6097,285672.38,3.9375,spotify:album:31rQ8a12b01IJ2tTFcM1bW
78,Both Directions at Once: The Lost Album,John Coltrane,0.4298571,0.46300003,3.9285715,-13.36743,0.5,0.053492855,0.3095207,0.0020519814,0.19920714,0.6295,117.718994,380859.0,3.7142856,spotify:album:0NSRgubfAJoYv2kvVAcRKy
79,The Listening,Little Brother,0.6497442,0.6328372,4.860465,-7.201605,0.4651163,0.3117163,0.35206503,0.12242031,0.3493744,0.72058135,104.44453,227724.28,3.9767442,spotify:album:6a85jis68PZPgsMNr2PoXh
80,Quarteto Nôvo,Quarteto Nôvo,0.45830002,0.26465002,5.8,-13.8408,0.6,0.04365,0.8233,0.3006546,0.13442001,0.2126,110.7181,323778.6,3.4,spotify:album:5NL2gpVnCot9ti6Jnm5PPg
81,Live in New York City,Bruce Springsteen & the E Street BandBruce SpringsteenE Street Band,0.33935001,0.7543,5.35,-6.7105994,0.85,0.056715,0.272818,0.00034080702,0.77234995,0.31373504,126.06065,428786.1,3.85,spotify:album:18up6NykzEl2aS94I6TVDg
82,Refazenda,Gilberto Gil,0.561,0.52272725,4.818182,-9.746454,0.8181818,0.0839,0.60336363,0.003144609,0.13495454,0.6248182,128.64282,206446.1,3.909091,spotify:album:1hoogSOvsrpNEEycTHaqmX
83,Close Encounters of the Third Kind,John Williams,0.22864614,0.10836732,4.576923,-21.805,0.6923077,0.044138454,0.740728,0.7450807,0.13096538,0.076965384,98.79107,178503.61,3.8076923,spotify:album:7JZZRKGjSSmFHRLM6Beg8F
84,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,0.4858461,0.82961535,8.461538,-5.482154,0.46153846,0.0591,0.034713693,1.1392307e-05,0.1927,0.57476926,130.27292,189967.23,4.0,spotify:album:0ndGMh4twJNzPpr5XtHTR2
85,Straight Outta Compton,N.W.A,0.8586923,0.64246154,7.923077,-8.332231,0.46153846,0.29284614,0.029961538,0.00010719692,0.22573847,0.7086154,117.97801,278816.0,4.0,spotify:album:0Y7qkJVZ06tS2GUCDptzyW
86,Brass,Moor Mother & Billy Woods,0.45459995,0.6786667,4.5333333,-8.6804,0.6666667,0.37190667,0.39656,0.047472734,0.20486668,0.42687333,113.824066,175431.14,3.9333334,spotify:album:2xU8y7tprnryyZndlYNNns
87,Pretenders,Pretenders,0.53138465,0.7628461,4.3076925,-7.5155764,0.6923077,0.059961535,0.105514646,0.23636696,0.24423462,0.59370387,127.94451,218502.97,3.5,spotify:album:6AFFu3ilmlEDz1I9ZaNOZw
88,New Gold Dream (81-82-83-84),Simple Minds,0.63439584,0.65456253,4.5,-10.766105,0.45833334,0.037964582,0.060709838,0.40020046,0.1996729,0.66324997,108.45239,323687.1,3.9791667,spotify:album:6dn2O3un8SV0QZ421jDdEj
89,Psalm 9,Trouble,0.22766668,0.8111111,9.222222,-7.0734444,0.7777778,0.06791112,0.022179553,0.13614933,0.16924447,0.22921112,113.30856,289662.22,3.8888888,spotify:album:6VchpjG3Z86CJzQeBIyGfp
90,Gone to Earth,David Sylvian,0.39928,0.21015999,5.1,-17.16945,0.35,0.037360005,0.8527999,0.6413857,0.092065,0.19319001,104.610245,272208.7,3.85,spotify:album:3CRipGCmcoBTKdadiYIMOc
91,The Divine Wings of Tragedy,Symphony X,0.4587778,0.8916667,8.0,-7.6801114,0.6666667,0.07462223,0.0050802333,0.010182834,0.1941889,0.28133333,136.04,436314.22,3.7777777,spotify:album:1ErltKGNVk6hw9OWfSq6Xe
92,La La Land,Justin Hurwitz,0.465,0.31794664,5.5333333,-13.188132,0.6666667,0.053333335,0.58016,0.40790763,0.28018,0.36119333,108.37667,183539.53,3.6666667,spotify:album:3GU8BzFEAdFSRjc8jZkL3S
93,Jewelz,O.C.,0.70280004,0.55560666,4.733333,-10.537267,0.73333335,0.33519998,0.10482868,0.090092726,0.22457333,0.6234667,120.028404,245104.86,3.7333333,spotify:album:142QQkfbqskQe7uBlmaS9F
