,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
56,The Turning Wheel,Spellling,0.45266667,0.38658333,6.25,-11.758332,0.5,0.035075005,0.4788667,0.11966583,0.17805834,0.21236666,114.33841,287723.34,3.8333333,spotify:album:5Dqqrr1dhaZ3BcFthVUCj2
57,Time of the Last Persecution,Bill Fay,0.43749997,0.31154996,5.0,-14.671643,0.71428573,0.037014283,0.7975,0.073029146,0.16934286,0.37622142,120.75335,166998.0,4.0,spotify:album:6Y5Fy4lhvFDkC0bbINONW5
58,Crac!,Area,0.39585713,0.67114294,3.5714285,-11.119429,0.5714286,0.13922857,0.14693601,0.2997648,0.33105713,0.60642856,116.61757,319850.28,3.7142856,spotify:album:36EzzM52hSYnWYwsdrWPGG
59,Sonic Excess in Its Purest Form,Crowbar,0.29172727,0.783,4.909091,-7.015091,0.72727275,0.062209085,0.031971,0.15104961,0.13181818,0.19514546,110.459465,248361.27,4.0,spotify:album:2vyE4fvDCuvjUZdpZRJSGz
60,Willis Alan Ramsey,Willis Alan Ramsey,0.5399091,0.2802909,6.3636365,-16.158726,0.54545456,0.052518178,0.7203637,0.036908463,0.13591819,0.46781817,111.673,218236.36,3.909091,spotify:album:1isk3Q87nsxN1p47aBVyPL
61,Damn Right I Am Somebody,Fred Wesley and the J.B.'sFred WesleyThe J.B.'s,0.616625,0.684375,4.0,-7.7855,0.625,0.1566,0.2856,0.15147263,0.36502498,0.71150005,119.18438,323420.0,4.0,spotify:album:6JeAFGVAsrfOgjYiuMZjDM
62,My War,Black Flag,0.29477778,0.47466666,3.8888888,-17.011778,0.7777778,0.065455556,0.5698555,0.27554443,0.1808889,0.30977777,135.42824,269419.34,3.8888888,spotify:album:17j1kW5y6yHlY5vaBFijbR
63,Your Queen Is a Reptile,Sons of Kemet,0.57055557,0.6934445,4.7777777,-9.614888,0.6666667,0.116277784,0.31644446,0.5584622,0.11842222,0.6638889,147.52254,368196.88,3.7777777,spotify:album:4pxnDGBdoGu88h8ZInX5f5
64,A Pagan Place,The Waterboys,0.4805,0.7405714,6.214286,-6.437214,0.5714286,0.04812857,0.0590645,0.09682108,0.16917142,0.44255713,134.735,320571.44,3.7857144,spotify:album:2ORArXMQSBYaF17QzkEvrl
65,KicK iii,Arca,0.55333334,0.6800833,4.0,-8.854334,0.8333333,0.22780831,0.13895501,0.03791646,0.25156665,0.43033335,117.00366,178754.67,4.0,spotify:album:1paea7BPqUpZksvNkQ2cqQ
66,King of the Dead,Cirith Ungol,0.28622225,0.85855556,5.4444447,-7.679111,0.6666667,0.08434445,0.10086045,0.27517113,0.24364445,0.35155556,134.35045,334823.56,3.6666667,spotify:album:6vGlda09oy3XWANPmXT35n
67,Technodelic,YMO,0.6189,0.76100004,5.3,-8.2193,0.7,0.047170002,0.256872,0.472119,0.12534,0.6414,116.06859,261299.9,3.9,spotify:album:3TgsOtKlwTQzNn71HWcuKH
68,Müptezhel,Ezhel,0.77099997,0.5646667,6.0,-8.984751,0.33333334,0.21916668,0.44125,0.008929137,0.13940834,0.43366668,116.20342,228686.67,3.9166667,spotify:album:5mo701EsMb8GFdF4YL3NG8
69,Waiting for the Sun,The Doors,0.49390915,0.36272728,4.818182,-15.39891,0.45454547,0.06680909,0.39177272,0.0037673183,0.2593273,0.5558182,125.648186,179220.73,4.0,spotify:album:0qZTwrunzX3LG45PvRghmh
70,Scream Bloody Gore,Death,0.21309999,0.91899997,6.7,-8.0222,0.6,0.0765,1.24e-06,0.58606,0.18486,0.19659,109.29409,225533.3,4.0,spotify:album:0PvGbpxBh7faAVbeZM4sIm
71,Western Culture,Henry Cow,0.29075,0.2664625,4.625,-19.773874,0.625,0.0308,0.30113748,0.29033974,0.1455,0.10695,126.582,271450.0,3.125,spotify:album:5nqDXYiJvy1Md86YtMAyzk
72,Nantucket Sleighride,Mountain,0.4809,0.70095,6.6,-11.478701,0.6,0.04871,0.1818781,0.17185299,0.22567001,0.7013,134.95547,252356.0,4.0,spotify:album:6Olkoi8hoXUfoMgCb2SW6V
73,World Galaxy,Alice Coltrane With Strings,0.2164,0.3758,7.6,-17.0794,0.8,0.039380003,0.5222,0.86660004,0.19819999,0.23999998,102.9514,491101.0,3.8,spotify:album:4vJH84ddOAuXvRhtS0ePex
74,Wanted: Dead or Alive,Kool G Rap & DJ Polo,0.80784607,0.7258462,6.1538463,-12.310769,0.3846154,0.28307694,0.13192227,0.028880484,0.17102307,0.70138454,119.15015,278564.62,4.0,spotify:album:4n8GtrqMTNsmBMr7Yx28Kr
75,Robson Jorge & Lincoln Olivetti,Robson Jorge & Lincoln Olivetti,0.7544167,0.65466666,6.4166665,-9.5715,0.6666667,0.08691666,0.45266667,0.6181714,0.112508334,0.8404166,110.30975,194587.08,4.0,spotify:album:23YsJH4l99KmP9OLXIwsaM
76,Diamond Eyes,Deftones,0.32345456,0.8464546,5.4545455,-5.3474545,0.54545456,0.06096364,0.00010253,0.37312907,0.17092727,0.28853634,121.85864,225277.64,3.6363637,spotify:album:1GjjBpY2iDwSQs5bykQI5e
77,Time Machines,Time Machines,0.62775,0.44383332,4.25,-8.828917,0.8333333,0.04213333,0.52714163,0.0011627267,0.12610833,0.47391665,100.33484,225220.92,4.0,spotify:album:6QPj8ogKledNHo7cknF86Z
78,The Congregation,Leprous,0.43018186,0.71581817,4.0,-7.0275455,0.36363637,0.055472728,0.024315154,0.22084728,0.17795454,0.30458185,141.63809,358727.28,3.5454545,spotify:album:0BTCS1O61sSYZ8o5kCqx03
79,In It for the Money,Supergrass,0.41290474,0.65790474,5.047619,-8.803856,0.61904764,0.038723815,0.035965994,0.3604045,0.16375238,0.39222863,116.477516,203847.67,3.857143,spotify:album:67qnhGyaN6Z0PYJMEePzjW
80,Bad Girls,Donna Summer,0.72146666,0.54653335,4.866667,-15.374268,0.8,0.04662667,0.09212999,0.0465264,0.15494,0.7410667,121.63246,285505.8,4.0,spotify:album:58GjBhQvLHwfQFJtdP9Oxg
81,Nowe sytuacje,Republika,0.62753844,0.7772308,3.6153846,-8.322538,0.46153846,0.051684614,0.021428077,0.2765401,0.12586154,0.66453844,121.97216,240615.31,4.076923,spotify:album:3nLJdi7hi0CtHwMwuAoK0p
82,Night Train,The Oscar Peterson Trio,0.60405564,0.16206665,5.0555553,-21.491554,0.6666667,0.04905,0.9029443,0.48853886,0.12182779,0.43727773,109.248505,223696.28,4.0,spotify:album:3gPOWmWT0q7Ygp95Xiuw1v
83,Under the Big Black Sun,X,0.46109092,0.78681815,6.090909,-6.9313645,0.6363636,0.037045453,0.07955318,0.32280552,0.15592729,0.7109091,123.86036,186799.9,3.909091,spotify:album:4tccdvGeX34eLWlHhwOt5b
84,The Light at the End of the World,My Dying Bride,0.29833332,0.68288887,2.3333333,-9.715555,0.33333334,0.038944446,0.00012327779,0.3909778,0.15205556,0.16275555,106.84411,474395.56,3.7777777,spotify:album:20cIG6jxvP2JDDUz0w3op6
85,The Skull,Trouble,0.26457143,0.71185714,4.714286,-11.050858,0.71428573,0.044299997,0.0026932857,0.07851922,0.18117142,0.3932857,100.231575,369142.84,3.857143,spotify:album:4YyP7v5pdacHgsyWB7K5I1
86,First Take,Roberta Flack,0.36325002,0.14462501,5.75,-16.38275,0.625,0.037437502,0.73399997,0.04429654,0.1148125,0.24509999,113.58199,338656.62,3.875,spotify:album:2ARWEOvaUgm4FSj25MpY6F
87,Essence,Lucinda Williams,0.4841818,0.45254546,5.0,-10.563273,0.8181818,0.031354547,0.62131816,0.00931373,0.13009089,0.3840273,105.48609,277082.47,3.8181818,spotify:album:2dQNpAl2lgWEUEoY5PzOvH
88,Mad Dogs & Englishmen,Joe Cocker,0.40334612,0.65303844,4.076923,-8.557038,0.9230769,0.07112308,0.39561462,0.01954989,0.65123075,0.5567308,117.98062,315500.38,3.8076923,spotify:album:7kXPAQK9SXrGuvvfjjsEjN
89,Through the Darkest Hour,Solitude Aeturnus,0.23763333,0.6346666,5.6666665,-10.484667,0.6666667,0.041966666,0.0038905132,0.037023224,0.2365889,0.30777776,112.0,380417.78,3.7777777,spotify:album:3GDMSnOoQQqACeRboaPL19
90,Visitation,Pekka Pohjola,0.41516665,0.76500005,4.5,-5.3566666,0.33333334,0.04205,0.03709333,0.795,0.15001667,0.47483334,115.8455,317613.5,3.6666667,spotify:album:13jsiukSg8oNVBKACx3X3f
91,Продано!,Янка [Yanka],0.6388421,0.29472104,7.1578946,-14.372157,0.6315789,0.054152634,0.963579,0.017232142,0.15282634,0.62221044,118.934044,145177.58,4.0,spotify:album:5TTbsVrpnet2mikigXpdgO
92,Live From Mars,Ben Harper & The Innocent Criminals,0.45332006,0.50324,5.16,-11.727601,0.76,0.069844,0.43134007,0.113419674,0.90252,0.39466396,109.78652,330528.2,3.84,spotify:album:4Hv68OJ1cJP0g9VlAOWP0s
93,Far Canal,Jody Grind,0.42844445,0.73522216,7.7777777,-8.804999,0.5555556,0.045566667,0.28228113,0.3870235,0.29119998,0.49577776,129.89911,326035.56,3.8888888,spotify:album:5cUvL3UL7LetWXvBZdIOhM
94,The Devil Made Me Do It,Paris,0.7822778,0.77038884,4.9444447,-8.261056,0.44444445,0.19461666,0.055147085,0.03440079,0.26903886,0.57277775,118.811386,219517.0,4.0,spotify:album:4ZMkt0tFGjbCXDrnCAwRHq
